Section Code,Organization Name,School Term,Genius School Term
ISS.CB.FL008.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL008.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL008.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL008.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL009.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL009.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL009.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL009.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL010.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL010.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL010.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL010.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL001.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL001.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL001.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL001.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL002.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL002.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL002.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL002.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL003.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL003.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL003.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL003.D.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL004.A.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL004.B.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL004.C.1,2 QA FocalPoint School,2526FY,13
ISS.CB.FL004.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA007.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA007.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA007.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA007.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA008.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA008.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA008.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA008.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA009.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA009.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA009.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA009.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA010.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA010.B.1,2 QA FocalPoint School,2526FY,13
