School,SchoolTerm,CourseCode,ForceSync,Server
0 QA School ESW,2122FY,EDCB.FL002.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL003.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL003.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL003.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL003.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL004.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL004.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL004.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL004.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC019.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC009.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC024.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC024.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA011.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC015.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC008.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC022.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC022.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA005.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA005.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS004.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS004.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS004.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS004.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS001.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS001.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS001.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS001.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS002.A,TRUE,esw-pulse
